Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
17_InternetAds.npz,LOF,PCA,0.9,0.1,0.6618548321271154,0.3362716894880049,0.17987152034261242,0.42424242424242425,0.11413043478260869,0.13995084889206766
17_InternetAds.npz,LOF,PCA,0.8,0.2,0.6665481988355009,0.3333469903144315,0.16274089935760172,0.3838383838383838,0.10326086956521739,0.1160979343778236
17_InternetAds.npz,LOF,PCA,0.7,0.3,0.6714762338793057,0.33064669433645955,0.15417558886509636,0.36363636363636365,0.09782608695652174,0.10417147712070159
17_InternetAds.npz,LOF,PCA,0.6,0.4,0.6753669668607498,0.32822748960528014,0.16274089935760172,0.3838383838383838,0.10326086956521739,0.1160979343778236
17_InternetAds.npz,LOF,PCA,0.5,0.5,0.6769960412472111,0.3256788536659262,0.16274089935760172,0.3838383838383838,0.10326086956521739,0.1160979343778236
17_InternetAds.npz,LOF,PCA,0.4,0.6,0.6746850682918866,0.3224426374835272,0.15845824411134904,0.37373737373737376,0.10054347826086957,0.1101347057492626
17_InternetAds.npz,LOF,PCA,0.3,0.7,0.6672913152309952,0.31742551334322455,0.15417558886509636,0.36363636363636365,0.09782608695652174,0.10417147712070159
17_InternetAds.npz,LOF,PCA,0.2,0.8,0.6537026582140719,0.3108145891487158,0.15417558886509636,0.36363636363636365,0.09782608695652174,0.10417147712070159
17_InternetAds.npz,LOF,PCA,0.1,0.9,0.6355719785601567,0.30363798761139005,0.15845824411134904,0.37373737373737376,0.10054347826086957,0.1101347057492626
17_InternetAds.npz,LOF,HBOS,0.9,0.1,0.6791165587419056,0.3563352825152952,0.2012847965738758,0.47474747474747475,0.12771739130434784,0.1697669920348727
17_InternetAds.npz,LOF,HBOS,0.8,0.2,0.6999799341568265,0.375907932777756,0.21413276231263384,0.5050505050505051,0.1358695652173913,0.18765667792055574
17_InternetAds.npz,LOF,HBOS,0.7,0.3,0.7187176905915003,0.40454365304532447,0.24411134903640255,0.5757575757575758,0.15489130434782608,0.2293992783204828
17_InternetAds.npz,LOF,HBOS,0.6,0.4,0.7330868748979703,0.4382508429288461,0.26980728051391867,0.6363636363636364,0.17119565217391305,0.2651786500918489
17_InternetAds.npz,LOF,HBOS,0.5,0.5,0.7409652690863578,0.47374538092468266,0.30406852248394006,0.7171717171717171,0.19293478260869565,0.31288447912033696
17_InternetAds.npz,LOF,HBOS,0.4,0.6,0.7414975240790118,0.5078037877414776,0.32548179871520344,0.7676767676767676,0.20652173913043478,0.34270062226314196
17_InternetAds.npz,LOF,HBOS,0.3,0.7,0.7333776595744681,0.5313532567441361,0.35974304068522484,0.8484848484848485,0.22826086956521738,0.3904064512916301
17_InternetAds.npz,LOF,HBOS,0.2,0.8,0.7179558687489797,0.5345561166779728,0.37687366167023556,0.8888888888888888,0.2391304347826087,0.41425936580587414
17_InternetAds.npz,LOF,HBOS,0.1,0.9,0.7003489416117973,0.5353967860064037,0.39400428265524623,0.9292929292929293,0.25,0.4381122803201182
17_InternetAds.npz,LOF,OCSVM,0.9,0.1,0.682182551559014,0.35826382869194673,0.2012847965738758,0.47474747474747475,0.12771739130434784,0.1697669920348727
17_InternetAds.npz,LOF,OCSVM,0.8,0.2,0.7057446128312564,0.3812067263772889,0.21841541755888652,0.5151515151515151,0.13858695652173914,0.19361990654911673
17_InternetAds.npz,LOF,OCSVM,0.7,0.3,0.7260451243402077,0.4140835680329693,0.24839400428265526,0.5858585858585859,0.15760869565217392,0.23536250694904381
17_InternetAds.npz,LOF,OCSVM,0.6,0.4,0.7417798062795886,0.4530247468216415,0.278372591006424,0.6565656565656566,0.1766304347826087,0.27710510734897087
