Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
18_Ionosphere.npz,LOF,PCA,0.9,0.1,0.8544973544973545,0.8346674096236805,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.8,0.2,0.8511463844797178,0.8426233182221035,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.7,0.3,0.8491358024691358,0.84405824264769,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.6,0.4,0.8421164021164022,0.8366439219741696,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.5,0.5,0.8325925925925927,0.82298668688994,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.4,0.6,0.8225044091710758,0.8056580203094935,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.3,0.7,0.8121693121693122,0.7869023478490293,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.2,0.8,0.8035273368606702,0.771052193523622,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,PCA,0.1,0.9,0.7941446208112874,0.754196674427544,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,HBOS,0.9,0.1,0.8850088183421516,0.8566352274146954,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,HBOS,0.8,0.2,0.8988359788359789,0.8776857609113795,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,HBOS,0.7,0.3,0.9031746031746032,0.8863843867942128,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,HBOS,0.6,0.4,0.8916402116402117,0.8710429256379941,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,HBOS,0.5,0.5,0.8652204585537918,0.8223422427808054,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,HBOS,0.4,0.6,0.8140035273368607,0.7013536288730247,0.23611111111111108,0.9444444444444444,0.1349206349206349,0.28375885980721466
18_Ionosphere.npz,LOF,HBOS,0.3,0.7,0.7474426807760142,0.539213823214439,0.1388888888888889,0.5555555555555556,0.07936507936507936,0.09527669745351733
18_Ionosphere.npz,LOF,HBOS,0.2,0.8,0.7032804232804233,0.47298816942469546,0.09722222222222222,0.3888888888888889,0.05555555555555555,0.014498627873361333
18_Ionosphere.npz,LOF,HBOS,0.1,0.9,0.668148148148148,0.4347695927814808,0.08333333333333333,0.3333333333333333,0.047619047619047616,-0.012427395320024
18_Ionosphere.npz,LOF,OCSVM,0.9,0.1,0.8360141093474427,0.8269526540618228,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.8,0.2,0.8264902998236332,0.8285634786874706,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.7,0.3,0.8202821869488537,0.8284932773682319,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.6,0.4,0.8111463844797179,0.8211885403618625,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.5,0.5,0.7998589065255732,0.808934210870925,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.4,0.6,0.7887830687830687,0.7941930259701112,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.3,0.7,0.7774250440917108,0.7783192700522403,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.2,0.8,0.7650793650793651,0.7612120866548303,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,OCSVM,0.1,0.9,0.7529100529100529,0.7455206937302027,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,IForest,0.9,0.1,0.8650793650793651,0.8449071757138881,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,IForest,0.8,0.2,0.8731569664902998,0.8616975480057739,0.25,1.0,0.14285714285714285,0.3106848830006
18_Ionosphere.npz,LOF,IForest,0.7,0.3,0.8823280423280423,0.8712536484759643,0.25,1.0,0.14285714285714285,0.3106848830006
