Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
15_Hepatitis.npz,LOF,PCA,0.9,0.1,0.6521239954075775,0.2814394232401276,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.8,0.2,0.6842709529276694,0.29122521872291185,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.7,0.3,0.7164179104477613,0.33027918941242224,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.6,0.4,0.7347876004592422,0.3434178916321773,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.5,0.5,0.7485648679678532,0.3454045954045954,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.4,0.6,0.7508610792192882,0.33849215254964915,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.3,0.7,0.7554535017221584,0.34035435152257504,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.2,0.8,0.756601607347876,0.3319225935554801,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,PCA,0.1,0.9,0.7566016073478761,0.3349323603686888,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.9,0.1,0.6704936854190586,0.28754109725371924,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.8,0.2,0.7129735935706085,0.30754481028159697,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.7,0.3,0.746268656716418,0.3220414452947036,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.6,0.4,0.7726750861079219,0.3323859070665896,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,HBOS,0.5,0.5,0.7784156142365098,0.33061110042155306,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.4,0.6,0.7830080367393801,0.32934339671661883,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.3,0.7,0.7830080367393801,0.3539888167454254,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,HBOS,0.2,0.8,0.7864523536165328,0.3787516922921756,0.23529411764705882,0.5,0.15384615384615385,0.2098833010518622
15_Hepatitis.npz,LOF,HBOS,0.1,0.9,0.7876004592422503,0.3777070021173795,0.23529411764705882,0.5,0.15384615384615385,0.2098833010518622
15_Hepatitis.npz,LOF,OCSVM,0.9,0.1,0.5683122847301951,0.2355290649521419,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,OCSVM,0.8,0.2,0.5510907003444317,0.20990094290883965,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,OCSVM,0.7,0.3,0.5246842709529277,0.1823702928583975,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,OCSVM,0.6,0.4,0.5189437428243399,0.17324190277775553,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,OCSVM,0.5,0.5,0.49598163030998854,0.16093287957078947,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,OCSVM,0.4,0.6,0.4730195177956372,0.1536901715035165,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,OCSVM,0.3,0.7,0.45464982778415614,0.1489406849893516,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,OCSVM,0.2,0.8,0.45350172215843854,0.14904170794612892,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,OCSVM,0.1,0.9,0.43513203214695756,0.14447644486097813,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,IForest,0.9,0.1,0.6475315729047073,0.26948485059663563,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,IForest,0.8,0.2,0.65097588978186,0.25543057970339167,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,IForest,0.7,0.3,0.6946039035591274,0.2696064236233346,0.11764705882352941,0.25,0.07692307692307693,0.0544141891615939
15_Hepatitis.npz,LOF,IForest,0.6,0.4,0.703788748564868,0.2624519198668958,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,IForest,0.5,0.5,0.6808266360505166,0.24317491096907484,0.0,0.0,0.0,-0.10105492272867439
15_Hepatitis.npz,LOF,IForest,0.4,0.6,0.6716417910447762,0.2369093121565296,0.0,0.0,0.0,-0.10105492272867439
