Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
1_ALOI.npz,LOF,PCA,0.9,0.1,0.7417757026173156,0.08996973749473261,0.1601003764115433,0.12878482034719418,0.21153846153846154,0.1313259043783462
1_ALOI.npz,LOF,PCA,0.8,0.2,0.7307240518812699,0.08793522035490084,0.1575909661229611,0.12676624949535728,0.20822281167108753,0.12863027982433922
1_ALOI.npz,LOF,PCA,0.7,0.3,0.7186438358267697,0.08448319155331371,0.1575909661229611,0.12676624949535728,0.20822281167108753,0.12863027982433922
1_ALOI.npz,LOF,PCA,0.6,0.4,0.7057275341904214,0.0800102633079164,0.14353826850690085,0.11546225272507064,0.1896551724137931,0.11353478232190005
1_ALOI.npz,LOF,PCA,0.5,0.5,0.6916787640779458,0.07396352476581347,0.13048933500627352,0.10496568429551877,0.1724137931034483,0.09951753464106368
1_ALOI.npz,LOF,PCA,0.4,0.6,0.67608605517723,0.06681271476995375,0.11292346298619825,0.09083568833266048,0.14920424403183025,0.08064816276301473
1_ALOI.npz,LOF,PCA,0.3,0.7,0.6582090370810418,0.058823537595122766,0.1013801756587202,0.08155026241421073,0.13395225464190982,0.06824828981458256
1_ALOI.npz,LOF,PCA,0.2,0.8,0.6365704070993375,0.05087858758801175,0.08130489335006275,0.06540169559951554,0.10742705570291777,0.04668329338252661
1_ALOI.npz,LOF,PCA,0.1,0.9,0.6072024591896013,0.04380746535934199,0.06624843161856964,0.05329027048849415,0.08753315649867374,0.030509546058484646
1_ALOI.npz,LOF,HBOS,0.9,0.1,0.6794982417790717,0.07709849011957413,0.14855708908406523,0.11949939442874445,0.1962864721485411,0.11892603142991404
1_ALOI.npz,LOF,HBOS,0.8,0.2,0.6399330239555254,0.06387684641570483,0.11744040150564618,0.0944691158659669,0.15517241379310345,0.08550028696022731
1_ALOI.npz,LOF,HBOS,0.7,0.3,0.6163675392562009,0.055628314371281955,0.09736511919698872,0.0783205490512717,0.1286472148541114,0.06393529052817136
1_ALOI.npz,LOF,HBOS,0.6,0.4,0.6008703798373582,0.0494731176650278,0.0848180677540778,0.0682276947920872,0.11206896551724138,0.0504571677581364
1_ALOI.npz,LOF,HBOS,0.5,0.5,0.5899502062929883,0.04430917932248729,0.07628607277289837,0.06136455389584174,0.10079575596816977,0.04129204427451262
1_ALOI.npz,LOF,HBOS,0.4,0.6,0.581737617864152,0.041344573857478695,0.07026348808030113,0.056519983851433184,0.09283819628647215,0.03482254534489584
1_ALOI.npz,LOF,HBOS,0.3,0.7,0.5753946096947266,0.038876449596051126,0.06775407779171895,0.05450141299959629,0.08952254641909814,0.032126920790888844
1_ALOI.npz,LOF,HBOS,0.2,0.8,0.5693039101499067,0.03747056620529201,0.06273525721455459,0.050464271295922486,0.08289124668435013,0.026735671682874853
1_ALOI.npz,LOF,HBOS,0.1,0.9,0.5638737447255857,0.03645087261636379,0.05922208281053952,0.04763827210335083,0.07824933687002653,0.022961797307265063
1_ALOI.npz,LOF,OCSVM,0.9,0.1,0.7318264057013327,0.08939444821646826,0.16060225846925974,0.12918853451756157,0.21220159151193635,0.1318650292891476
1_ALOI.npz,LOF,OCSVM,0.8,0.2,0.7123922348206392,0.08432054340804829,0.14203262233375155,0.11425111021396851,0.1876657824933687,0.11191740758949585
1_ALOI.npz,LOF,OCSVM,0.7,0.3,0.6934364050816418,0.07839430796803644,0.12496863237139272,0.1005248284214776,0.16511936339522545,0.0935871606222483
1_ALOI.npz,LOF,OCSVM,0.6,0.4,0.6744715036649578,0.07370093825917644,0.1053952321204517,0.08477997577714978,0.13925729442970822,0.07256128910099374
