Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
2_annthyroid.npz,LOF,PCA,0.9,0.1,0.743644870104988,0.20985218665967303,0.25279642058165547,0.3138888888888889,0.21161048689138576,0.20987499931384418
2_annthyroid.npz,LOF,PCA,0.8,0.2,0.7461754602426534,0.21319523420309872,0.25727069351230425,0.3194444444444444,0.2153558052434457,0.21473884634313373
2_annthyroid.npz,LOF,PCA,0.7,0.3,0.745794804199521,0.21571849233267132,0.25950782997762867,0.32222222222222224,0.21722846441947566,0.2171707698577785
2_annthyroid.npz,LOF,PCA,0.6,0.4,0.7432810696800016,0.21717363957689834,0.25727069351230425,0.3194444444444444,0.2153558052434457,0.21473884634313373
2_annthyroid.npz,LOF,PCA,0.5,0.5,0.738907598625031,0.21680051879180484,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,LOF,PCA,0.4,0.6,0.7325558398536482,0.21560701630800255,0.2505592841163311,0.3111111111111111,0.20973782771535582,0.2074430757991994
2_annthyroid.npz,LOF,PCA,0.3,0.7,0.7240653840664966,0.2110452853615232,0.2460850111856823,0.3055555555555556,0.20599250936329588,0.20257922876990986
2_annthyroid.npz,LOF,PCA,0.2,0.8,0.7126914938684881,0.20474626304216034,0.24384787472035796,0.30277777777777776,0.20411985018726592,0.20014730525526508
2_annthyroid.npz,LOF,PCA,0.1,0.9,0.6967960841027923,0.19767915532646374,0.22818791946308722,0.2833333333333333,0.19101123595505617,0.18312384065275164
2_annthyroid.npz,LOF,HBOS,0.9,0.1,0.7402543625149032,0.20871830894430463,0.2505592841163311,0.3111111111111111,0.20973782771535582,0.2074430757991994
2_annthyroid.npz,LOF,HBOS,0.8,0.2,0.7291274071227347,0.20624778556268406,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,LOF,HBOS,0.7,0.3,0.7162390396343006,0.20128772363074932,0.2550335570469799,0.31666666666666665,0.21348314606741572,0.21230692282848895
2_annthyroid.npz,LOF,HBOS,0.6,0.4,0.7029379904282563,0.19684597931232542,0.2639821029082774,0.3277777777777778,0.2209737827715356,0.22203461688706805
2_annthyroid.npz,LOF,HBOS,0.5,0.5,0.6893686559667203,0.1922635438489859,0.25727069351230425,0.3194444444444444,0.2153558052434457,0.21473884634313373
2_annthyroid.npz,LOF,HBOS,0.4,0.6,0.6756922883299565,0.18907882625978167,0.25727069351230425,0.3194444444444444,0.2153558052434457,0.21473884634313373
2_annthyroid.npz,LOF,HBOS,0.3,0.7,0.6617361174319679,0.18730983719917244,0.2460850111856823,0.3055555555555556,0.20599250936329588,0.20257922876990986
2_annthyroid.npz,LOF,HBOS,0.2,0.8,0.6487443688189043,0.18605091602506046,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,LOF,HBOS,0.1,0.9,0.636551014652027,0.1847099734229217,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,LOF,OCSVM,0.9,0.1,0.7319793777130521,0.20222984550398362,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,LOF,OCSVM,0.8,0.2,0.71741780919665,0.1931580663741712,0.24384787472035796,0.30277777777777776,0.20411985018726592,0.20014730525526508
2_annthyroid.npz,LOF,OCSVM,0.7,0.3,0.6992303162900559,0.17941990969684923,0.2214765100671141,0.275,0.1853932584269663,0.17582807010881732
2_annthyroid.npz,LOF,OCSVM,0.6,0.4,0.6791707260613702,0.1637579531012716,0.1946308724832215,0.24166666666666667,0.16292134831460675,0.14664498793308
2_annthyroid.npz,LOF,OCSVM,0.5,0.5,0.6580576596985541,0.14762593046782946,0.15883668903803133,0.19722222222222222,0.13295880149812733,0.10773421169876359
2_annthyroid.npz,LOF,OCSVM,0.4,0.6,0.6357998159366499,0.1348808240390898,0.14317673378076062,0.17777777777777778,0.1198501872659176,0.09071074709625015
2_annthyroid.npz,LOF,OCSVM,0.3,0.7,0.6131781717497592,0.12446128469355863,0.116331096196868,0.14444444444444443,0.09737827715355805,0.061527664920512835
2_annthyroid.npz,LOF,OCSVM,0.2,0.8,0.5910135957415966,0.11675289579416373,0.11185682326621925,0.1388888888888889,0.09363295880149813,0.05666381789122328
2_annthyroid.npz,LOF,OCSVM,0.1,0.9,0.5695370098807633,0.1107576014945639,0.10738255033557047,0.13333333333333333,0.0898876404494382,0.05179997086193373
2_annthyroid.npz,LOF,CBLOF,0.9,0.1,0.7429580036655351,0.20888027946741283,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,LOF,CBLOF,0.8,0.2,0.7421399443315118,0.20983126049909645,0.25950782997762867,0.32222222222222224,0.21722846441947566,0.2171707698577785
2_annthyroid.npz,LOF,CBLOF,0.7,0.3,0.7373537915589312,0.20818786348722437,0.2505592841163311,0.3111111111111111,0.20973782771535582,0.2074430757991994
2_annthyroid.npz,LOF,CBLOF,0.6,0.4,0.7319878055221253,0.2061055486985826,0.232662192393736,0.28888888888888886,0.1947565543071161,0.1879876876820412
2_annthyroid.npz,LOF,CBLOF,0.5,0.5,0.7314127480163747,0.21276730454042156,0.25950782997762867,0.32222222222222224,0.21722846441947566,0.2171707698577785
2_annthyroid.npz,LOF,CBLOF,0.4,0.6,0.713040686091081,0.19629565754731404,0.23713646532438482,0.29444444444444445,0.19850187265917604,0.19285153471133074
2_annthyroid.npz,LOF,CBLOF,0.3,0.7,0.7013423252437604,0.1890106731161439,0.23489932885906042,0.2916666666666667,0.19662921348314608,0.19041961119668596
2_annthyroid.npz,LOF,CBLOF,0.2,0.8,0.6870487610558809,0.18109980996487823,0.232662192393736,0.28888888888888886,0.1947565543071161,0.1879876876820412
2_annthyroid.npz,LOF,CBLOF,0.1,0.9,0.6737929410918619,0.18813650270270466,0.24384787472035796,0.30277777777777776,0.20411985018726592,0.20014730525526508
2_annthyroid.npz,KNN,PCA,0.9,0.1,0.7450186029838939,0.2164565915279697,0.25279642058165547,0.3138888888888889,0.21161048689138576,0.20987499931384418
2_annthyroid.npz,KNN,PCA,0.8,0.2,0.7383010772987412,0.21382524739802852,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,KNN,PCA,0.7,0.3,0.7310503522262338,0.21116890161685412,0.2460850111856823,0.3055555555555556,0.20599250936329588,0.20257922876990986
2_annthyroid.npz,KNN,PCA,0.6,0.4,0.7233363785816783,0.20846067180478361,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,KNN,PCA,0.5,0.5,0.715411990637266,0.20517884002204811,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,KNN,PCA,0.4,0.6,0.7072423534488279,0.2018699000931851,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,KNN,PCA,0.3,0.7,0.6989052837868056,0.19898580782121011,0.23489932885906042,0.2916666666666667,0.19662921348314608,0.19041961119668596
2_annthyroid.npz,KNN,PCA,0.2,0.8,0.690293186622033,0.1962623631787909,0.232662192393736,0.28888888888888886,0.1947565543071161,0.1879876876820412
2_annthyroid.npz,KNN,PCA,0.1,0.9,0.6815984969283445,0.1936845052264901,0.23042505592841162,0.2861111111111111,0.19288389513108614,0.18555576416739641
2_annthyroid.npz,KNN,HBOS,0.9,0.1,0.7215460310075952,0.20908326871046173,0.2662192393736018,0.33055555555555555,0.22284644194756553,0.22446654040171285
2_annthyroid.npz,KNN,HBOS,0.8,0.2,0.697867258635976,0.202337902365627,0.25950782997762867,0.32222222222222224,0.21722846441947566,0.2171707698577785
2_annthyroid.npz,KNN,HBOS,0.7,0.3,0.6796041963746937,0.1982346974175215,0.2639821029082774,0.3277777777777778,0.2209737827715356,0.22203461688706805
2_annthyroid.npz,KNN,HBOS,0.6,0.4,0.6657323035674354,0.19539581898956054,0.25950782997762867,0.32222222222222224,0.21722846441947566,0.2171707698577785
2_annthyroid.npz,KNN,HBOS,0.5,0.5,0.6550506174212928,0.19326289454567658,0.2550335570469799,0.31666666666666665,0.21348314606741572,0.21230692282848895
2_annthyroid.npz,KNN,HBOS,0.4,0.6,0.6465888161849893,0.1908473360838982,0.2505592841163311,0.3111111111111111,0.20973782771535582,0.2074430757991994
2_annthyroid.npz,KNN,HBOS,0.3,0.7,0.6396721132787436,0.1889279101936851,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,KNN,HBOS,0.2,0.8,0.6339667674632632,0.18658040505548742,0.24384787472035796,0.30277777777777776,0.20411985018726592,0.20014730525526508
