Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
4_breastw.npz,LOF,PCA,0.9,0.1,0.7725225225225225,0.498088957134338,0.0,0.0,0.0,-0.1679285645037019
4_breastw.npz,LOF,PCA,0.8,0.2,0.8246447284104188,0.5778964006863397,0.0437956204379562,0.17142857142857143,0.02510460251046025,-0.08697825336327945
4_breastw.npz,LOF,PCA,0.7,0.3,0.8634701647253948,0.6844076580371984,0.16788321167883213,0.6571428571428571,0.09623430962343096,0.149699623318473
4_breastw.npz,LOF,PCA,0.6,0.4,0.8948226469146972,0.794991316789536,0.22627737226277375,0.8857142857142857,0.1297071129707113,0.2610774476392977
4_breastw.npz,LOF,PCA,0.5,0.5,0.9193052885521504,0.8644056148571782,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,PCA,0.4,0.6,0.9347035319838666,0.8992194249324152,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,PCA,0.3,0.7,0.9449941573372536,0.9256234613386375,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,PCA,0.2,0.8,0.9516189829997361,0.9414418439346693,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,PCA,0.1,0.9,0.9566229409325642,0.9527744409830623,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,LOF,HBOS,0.9,0.1,0.8512759621546233,0.5848518283637797,0.0,0.0,0.0,-0.17051162160389796
4_breastw.npz,LOF,HBOS,0.8,0.2,0.9095706585246335,0.6960843818049552,0.1094890510948905,0.42857142857142855,0.06276150627615062,0.038321798997648315
4_breastw.npz,LOF,HBOS,0.7,0.3,0.9525801952580194,0.835111082605388,0.20437956204379562,0.8,0.11715481171548117,0.21931076351898843
4_breastw.npz,LOF,HBOS,0.6,0.4,0.971559425534321,0.8971667289747511,0.22627737226277375,0.8857142857142857,0.1297071129707113,0.2610774476392977
