Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
Dataset_1,LOF,PCA,0.9,0.1,0.8177777777777778,0.6228881174249346,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,PCA,0.8,0.2,0.7983838383838385,0.6243408662900188,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,PCA,0.7,0.3,0.791919191919192,0.6242714025500911,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,PCA,0.6,0.4,0.7882828282828284,0.6242342946568299,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,LOF,PCA,0.5,0.5,0.7866666666666667,0.6230566395949794,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,LOF,PCA,0.4,0.6,0.7874747474747475,0.623064704013555,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,LOF,PCA,0.3,0.7,0.787070707070707,0.6220161290322581,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,LOF,PCA,0.2,0.8,0.7870707070707071,0.6210719105455947,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,PCA,0.1,0.9,0.7866666666666667,0.619810298102981,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.9,0.1,0.8549494949494949,0.6230487804878049,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.8,0.2,0.861010101010101,0.6227173233270794,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.7,0.3,0.8618181818181818,0.621851404409544,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.6,0.4,0.8577777777777778,0.6205659075224292,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.5,0.5,0.8569696969696969,0.6209224318658281,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.4,0.6,0.8521212121212122,0.6174205105239589,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.3,0.7,0.8452525252525251,0.6150172215843858,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.2,0.8,0.8375757575757576,0.612479249368459,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,HBOS,0.1,0.9,0.8347474747474748,0.5618586934537855,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.9,0.1,0.8484848484848485,0.6278409090909091,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.8,0.2,0.8351515151515152,0.6283971251880327,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.7,0.3,0.8145454545454546,0.628094781132354,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.6,0.4,0.7975757575757576,0.6296652089755537,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.5,0.5,0.793939393939394,0.630608088449229,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.4,0.6,0.7951515151515152,0.6316746194046806,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.3,0.7,0.7967676767676768,0.6328268439379551,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.2,0.8,0.7971717171717172,0.6328310864393338,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,LOF,OCSVM,0.1,0.9,0.7975757575757576,0.6328353464717101,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,PCA,0.9,0.1,0.7915151515151516,0.6231060196692964,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,PCA,0.8,0.2,0.7890909090909092,0.6242424242424243,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,PCA,0.7,0.3,0.7874747474747475,0.6242262302382543,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,KNN,PCA,0.6,0.4,0.7870707070707071,0.6236256296376537,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,KNN,PCA,0.5,0.5,0.7866666666666667,0.6230566395949794,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,KNN,PCA,0.4,0.6,0.7882828282828284,0.6225371120107962,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,PCA,0.3,0.7,0.7915151515151516,0.6231060196692964,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,PCA,0.2,0.8,0.7935353535353535,0.620701087221491,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,PCA,0.1,0.9,0.7967676767676768,0.6199191054009041,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.9,0.1,0.7975757575757577,0.6207459787859171,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.8,0.2,0.8020202020202021,0.6188839615668884,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.7,0.3,0.8121212121212122,0.6186794717887155,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.6,0.4,0.8246464646464646,0.6173855089022183,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.5,0.5,0.8339393939393939,0.6175470552519732,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.4,0.6,0.8343434343434343,0.6146137087313558,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.3,0.7,0.8294949494949495,0.6118214402085369,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.2,0.8,0.8303030303030303,0.6116630112243582,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,HBOS,0.1,0.9,0.8274747474747475,0.5107972933215652,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.9,0.1,0.8016161616161617,0.625675334511487,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.8,0.2,0.806060606060606,0.6288453159041395,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.7,0.3,0.812929292929293,0.6308236808236808,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.6,0.4,0.8185858585858586,0.6319498152444787,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.5,0.5,0.8262626262626263,0.633190538275284,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.4,0.6,0.8307070707070707,0.6332567929582855,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.3,0.7,0.8375757575757576,0.6333666333666333,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.2,0.8,0.84,0.6334077531966714,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,KNN,OCSVM,0.1,0.9,0.8424242424242424,0.6334501959166838,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.9,0.1,0.7999999999999999,0.6212121212121212,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.8,0.2,0.7927272727272727,0.6215911972009532,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.7,0.3,0.7915151515151515,0.6225704336815449,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.6,0.4,0.7874747474747474,0.622020202020202,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.5,0.5,0.7858585858585859,0.6206207801950488,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,COF,PCA,0.4,0.6,0.7903030303030304,0.6206665068328938,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.3,0.7,0.7951515151515152,0.6211573236889693,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.2,0.8,0.8024242424242425,0.6199852832965416,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,PCA,0.1,0.9,0.8072727272727274,0.6182935779816514,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.9,0.1,0.802020202020202,0.6192336659762755,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.8,0.2,0.8052525252525252,0.6204189546471426,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.7,0.3,0.8060606060606061,0.6196486406909412,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.6,0.4,0.8088888888888889,0.6189708141321045,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.5,0.5,0.814949494949495,0.6183980815347722,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.4,0.6,0.8210101010101011,0.6178846153846154,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.3,0.7,0.8246464646464646,0.6163905060456784,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.2,0.8,0.8218181818181818,0.6140601503759399,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,HBOS,0.1,0.9,0.8214141414141414,0.5637566137566138,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.9,0.1,0.8068686868686868,0.6264450674142304,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.8,0.2,0.8076767676767677,0.6288644688644689,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.7,0.3,0.8068686868686868,0.6297696130100887,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.6,0.4,0.806060606060606,0.6307406259683916,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.5,0.5,0.8032323232323233,0.6307081807081807,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.4,0.6,0.7991919191919192,0.6317173123018633,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.3,0.7,0.797979797979798,0.63170431842631,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.2,0.8,0.7967676767676768,0.6316914852997326,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,COF,OCSVM,0.1,0.9,0.7983838383838384,0.6328439195659112,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.9,0.1,0.8331313131313132,0.49475761731137874,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.8,0.2,0.8113131313131313,0.5004789804789804,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.7,0.3,0.8048484848484848,0.5121545121545121,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.6,0.4,0.8032323232323233,0.5348783724015922,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.5,0.5,0.7987878787878789,0.5492935635792779,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.4,0.6,0.7979797979797981,0.5659090909090909,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,PCA,0.3,0.7,0.7967676767676769,0.5766071826192066,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,SOD,PCA,0.2,0.8,0.7971717171717173,0.6108888888888889,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,SOD,PCA,0.1,0.9,0.7963636363636364,0.5835464936669756,0.016,0.00808080808080808,0.8,-0.1919191919191919
Dataset_1,SOD,HBOS,0.9,0.1,0.8521212121212121,0.4854816326530612,0.01996007984031936,0.010080645161290322,1.0,0.009025506017898038
Dataset_1,SOD,HBOS,0.8,0.2,0.8731313131313131,0.49606777493606136,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.7,0.3,0.8751515151515151,0.5081261331261332,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.6,0.4,0.8690909090909091,0.5120186830713147,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.5,0.5,0.8743434343434343,0.5144894894894895,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.4,0.6,0.8739393939393939,0.5023797294983735,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.3,0.7,0.8682828282828283,0.5022261449445915,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.2,0.8,0.8638383838383838,0.502114898989899,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,HBOS,0.1,0.9,0.863030303030303,0.4937232905982906,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.9,0.1,0.873939393939394,0.5007936507936508,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.8,0.2,0.8517171717171718,0.5142289658765304,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.7,0.3,0.7991919191919192,0.5241249392318912,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.6,0.4,0.8004040404040405,0.5386003172085647,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.5,0.5,0.8,0.5302669838752314,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.4,0.6,0.8004040404040405,0.5353951890034365,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.3,0.7,0.8012121212121213,0.5414600550964188,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.2,0.8,0.8004040404040405,0.5302712439076077,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_1,SOD,OCSVM,0.1,0.9,0.7999999999999999,0.5377804014167652,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_2,LOF,PCA,0.9,0.1,0.9834343434343434,0.8217391304347825,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_2,LOF,PCA,0.8,0.2,0.9834343434343434,0.8217391304347825,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_2,LOF,PCA,0.7,0.3,0.9842424242424243,0.8227272727272728,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_2,LOF,PCA,0.6,0.4,0.9842424242424243,0.8227272727272728,0.02,0.010101010101010102,1.0,0.010101010101010102
