Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
Dataset_361,LOF,PCA,0.9,0.1,0.782550505050505,0.4821675387332265,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,PCA,0.8,0.2,0.7788383838383838,0.4792096659991301,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.7,0.3,0.7758333333333334,0.4803263788044874,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.6,0.4,0.7773484848484848,0.48150740922643,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.5,0.5,0.7769949494949495,0.4837055093183336,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.4,0.6,0.7751010101010101,0.4863533895625297,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.3,0.7,0.7739393939393939,0.48622771008897986,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.2,0.8,0.7723232323232323,0.48436449651949426,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,PCA,0.1,0.9,0.7706313131313131,0.4817445750017543,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,HBOS,0.9,0.1,0.7473232323232323,0.4759336878095296,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.8,0.2,0.7259595959595959,0.4787627145247347,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.7,0.3,0.7152777777777777,0.48674848900066,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.6,0.4,0.7033080808080809,0.485157495065911,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.5,0.5,0.7022474747474748,0.4844982389506063,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.4,0.6,0.6999242424242424,0.48428746135863876,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.3,0.7,0.6986363636363637,0.4849329655585101,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.2,0.8,0.6982070707070707,0.48316459110286614,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,HBOS,0.1,0.9,0.697929292929293,0.48364414910640974,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,LOF,OCSVM,0.9,0.1,0.7887373737373738,0.483002371191288,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.8,0.2,0.7888888888888889,0.48353389622363335,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.7,0.3,0.7891919191919192,0.4826065093510776,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.6,0.4,0.789520202020202,0.4803191237105582,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.5,0.5,0.7903030303030303,0.48032262088336264,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.4,0.6,0.7914393939393939,0.479891568357601,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.3,0.7,0.7929040404040405,0.4816814212372729,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.2,0.8,0.7947222222222222,0.48416184610084245,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,LOF,OCSVM,0.1,0.9,0.8018181818181819,0.48419668512786734,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.9,0.1,0.7806313131313132,0.49642689417379815,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.8,0.2,0.778510101010101,0.4955370661109386,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.7,0.3,0.7791919191919192,0.4946259705615114,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.6,0.4,0.7797727272727273,0.4920055301765377,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.5,0.5,0.7808080808080808,0.4894369800046702,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.4,0.6,0.7802777777777777,0.4861350665193314,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.3,0.7,0.7790404040404041,0.4851802417167361,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.2,0.8,0.7759848484848485,0.4832167627574086,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,PCA,0.1,0.9,0.7727020202020202,0.482544348101231,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.9,0.1,0.743459595959596,0.4989057178715346,0.01999000499750125,0.010095911155981827,1.0,0.009842761580836922
Dataset_361,KNN,HBOS,0.8,0.2,0.7286616161616161,0.49337297785923667,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.7,0.3,0.7158838383838384,0.49231436978057497,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.6,0.4,0.7073232323232324,0.48918257899588774,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.5,0.5,0.7063383838383838,0.4803083227694397,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.4,0.6,0.7036868686868687,0.4782301635714646,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.3,0.7,0.7041919191919193,0.4784538632804505,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.2,0.8,0.7053535353535354,0.47302302747451125,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,HBOS,0.1,0.9,0.7052272727272728,0.4732044950394058,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.9,0.1,0.7850252525252526,0.49097157640431094,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.8,0.2,0.7853282828282827,0.4885768986351681,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.7,0.3,0.7861363636363635,0.48786629866767056,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.6,0.4,0.7866161616161615,0.4867008362692795,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.5,0.5,0.7876515151515151,0.48560307321362645,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.4,0.6,0.7880555555555555,0.4850537030399257,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.3,0.7,0.7895202020202021,0.48421301396274175,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.2,0.8,0.7905050505050505,0.4838197781262936,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,KNN,OCSVM,0.1,0.9,0.7902020202020202,0.4879190469804745,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,PCA,0.9,0.1,0.8179040404040404,0.48011036961573517,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,PCA,0.8,0.2,0.8042929292929294,0.4811804972288457,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,PCA,0.7,0.3,0.7860858585858586,0.4825393619046421,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,PCA,0.6,0.4,0.7656060606060605,0.48305428743971157,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,PCA,0.5,0.5,0.7471464646464647,0.48320358131976016,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,PCA,0.4,0.6,0.7314141414141414,0.48588167920907704,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,COF,PCA,0.3,0.7,0.7203535353535353,0.488481468476024,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,COF,PCA,0.2,0.8,0.7151515151515152,0.4844400063995173,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,COF,PCA,0.1,0.9,0.7116919191919192,0.48481617129998583,0.019,0.009595959595959595,0.95,-0.04040404040404041
Dataset_361,COF,HBOS,0.9,0.1,0.8147222222222222,0.47888188644193963,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,HBOS,0.8,0.2,0.7993939393939394,0.4775031390117465,0.02,0.010101010101010102,1.0,0.010101010101010102
Dataset_361,COF,HBOS,0.7,0.3,0.782550505050505,0.4775564306408819,0.02,0.010101010101010102,1.0,0.010101010101010102
