Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
Dataset_601,LOF,PCA,0.9,0.1,0.9528328421052631,0.7639512685557058,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,PCA,0.8,0.2,0.9835595789473685,0.8713796381943083,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,PCA,0.7,0.3,0.9921978947368422,0.936431176494683,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,PCA,0.6,0.4,0.9934846315789474,0.9649373482637585,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,PCA,0.5,0.5,0.992725052631579,0.9767807048002535,0.09960000000000001,0.052421052631578945,0.996,0.04842105263157895
Dataset_601,LOF,PCA,0.4,0.6,0.9912581052631578,0.9809643909352863,0.09960000000000001,0.052421052631578945,0.996,0.04842105263157895
Dataset_601,LOF,PCA,0.3,0.7,0.9896496842105265,0.9818591929975381,0.09960000000000001,0.052421052631578945,0.996,0.04842105263157895
Dataset_601,LOF,PCA,0.2,0.8,0.9883705263157895,0.9798778654788953,0.0992,0.05221052631578947,0.992,0.04421052631578947
Dataset_601,LOF,PCA,0.1,0.9,0.9859671578947369,0.9746850827690419,0.0992,0.05221052631578947,0.992,0.04421052631578947
Dataset_601,LOF,HBOS,0.9,0.1,0.9502197894736841,0.7307520024751029,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,HBOS,0.8,0.2,0.9766677894736843,0.7906662064396456,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,HBOS,0.7,0.3,0.9839949473684211,0.8327021332407554,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,HBOS,0.6,0.4,0.9883385263157894,0.8684020069452087,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,HBOS,0.5,0.5,0.9912816842105263,0.8953812350451643,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,HBOS,0.4,0.6,0.9932732631578947,0.9159865978488057,0.1,0.05263157894736842,1.0,0.05263157894736842
Dataset_601,LOF,HBOS,0.3,0.7,0.9944606315789473,0.9290442503259858,0.1,0.05263157894736842,1.0,0.05263157894736842
